Refractive Index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,target
(-inf..1.52],(12.69..12.93],(3.4..3.53],(1.13..1.28],(73.12..+inf),(0.48..0.57],(8.39..8.64],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(13.22..13.47],(3.8..+inf),(1.13..1.28],(72.35..72.66],(0.57..0.66],(8.1..8.39],(-inf..0.07],(-inf..0.09],1
(1.52..+inf),(12.93..13.22],(3.53..3.66],(0.82..1.13],(71.95..72.35],(0.11..0.23],(9.75..+inf),(-inf..0.07],(0.14..0.19],0
(-inf..1.52],(13.22..13.47],(2.89..3.4],(1.13..1.28],(72.35..72.66],(0.48..0.57],(8.64..8.99],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(13.22..13.47],(3.8..+inf),(1.28..1.44],(72.35..72.66],(0.48..0.57],(8.1..8.39],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(13.47..13.8],(2.89..3.4],(1.13..1.28],(71.95..72.35],(0.57..0.66],(8.64..8.99],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(13.22..13.47],(2.89..3.4],(1.13..1.28],(72.66..72.89],(0.57..0.66],(8.1..8.39],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(-inf..12.69],(2.89..3.4],(1.13..1.28],(73.12..+inf),(0.57..0.66],(8.64..8.99],(-inf..0.07],(0.19..0.25],1
(-inf..1.52],(13.8..+inf),(3.53..3.66],(1.28..1.44],(71.95..72.35],(0.48..0.57],(8.1..8.39],(-inf..0.07],(-inf..0.09],0
(1.52..+inf),(13.47..13.8],(-inf..2.89],(1.28..1.44],(71.95..72.35],(0.23..0.48],(9.75..+inf),(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(12.69..12.93],(3.53..3.66],(1.13..1.28],(73.12..+inf),(0.57..0.66],(8.1..8.39],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(13.22..13.47],(3.4..3.53],(1.28..1.44],(73.12..+inf),(0.57..0.66],(-inf..8.1],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(12.93..13.22],(3.53..3.66],(1.44..1.63],(72.89..73.12],(0.66..+inf),(-inf..8.1],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(12.69..12.93],(3.4..3.53],(1.28..1.44],(72.89..73.12],(0.57..0.66],(8.39..8.64],(-inf..0.07],(-inf..0.09],0
(1.52..+inf),(13.47..13.8],(3.66..3.8],(-inf..0.82],(-inf..71.95],(-inf..0.11],(9.75..+inf),(-inf..0.07],(0.14..0.19],0
(-inf..1.52],(13.47..13.8],(3.53..3.66],(1.44..1.63],(72.89..73.12],(0.23..0.48],(-inf..8.1],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(-inf..12.69],(3.53..3.66],(1.28..1.44],(72.89..73.12],(0.48..0.57],(8.64..8.99],(-inf..0.07],(-inf..0.09],0
(1.52..+inf),(13.47..13.8],(3.8..+inf),(-inf..0.82],(-inf..71.95],(0.11..0.23],(8.99..9.75],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(12.93..13.22],(2.89..3.4],(1.13..1.28],(72.89..73.12],(0.48..0.57],(8.39..8.64],(-inf..0.07],(-inf..0.09],0
(1.52..+inf),(13.8..+inf),(-inf..2.89],(1.44..1.63],(-inf..71.95],(0.23..0.48],(9.75..+inf),(-inf..0.07],(0.14..0.19],1
(-inf..1.52],(13.22..13.47],(3.53..3.66],(1.44..1.63],(72.66..72.89],(0.48..0.57],(-inf..8.1],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(13.47..13.8],(3.53..3.66],(0.82..1.13],(72.35..72.66],(0.11..0.23],(8.64..8.99],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(12.93..13.22],(2.89..3.4],(1.13..1.28],(72.89..73.12],(0.57..0.66],(8.64..8.99],(-inf..0.07],(0.19..0.25],1
(-inf..1.52],(13.22..13.47],(3.53..3.66],(1.13..1.28],(72.89..73.12],(0.48..0.57],(-inf..8.1],(-inf..0.07],(-inf..0.09],0
(1.52..+inf),(13.47..13.8],(2.89..3.4],(-inf..0.82],(-inf..71.95],(-inf..0.11],(9.75..+inf),(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(12.69..12.93],(3.4..3.53],(1.44..1.63],(72.89..73.12],(0.23..0.48],(8.1..8.39],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(13.22..13.47],(3.53..3.66],(1.13..1.28],(72.66..72.89],(0.66..+inf),(-inf..8.1],(-inf..0.07],(-inf..0.09],1
(-inf..1.52],(12.69..12.93],(3.53..3.66],(1.28..1.44],(72.66..72.89],(0.57..0.66],(8.64..8.99],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(12.93..13.22],(3.53..3.66],(0.82..1.13],(71.95..72.35],(0.57..0.66],(8.99..9.75],(-inf..0.07],(0.14..0.19],1
(-inf..1.52],(12.93..13.22],(-inf..2.89],(1.13..1.28],(72.66..72.89],(0.48..0.57],(8.99..9.75],(-inf..0.07],(-inf..0.09],0
(-inf..1.52],(12.69..12.93],(3.4..3.53],(1.13..1.28],(72.89..73.12],(0.57..0.66],(8.39..8.64],(0.07..0.1],(0.19..0.25],0
(1.52..+inf),(13.8..+inf),(3.66..3.8],(-inf..0.82],(-inf..71.95],(-inf..0.11],(8.99..9.75],(-inf..0.07],(-inf..0.09],0
